id,prompt,expected_text,difficulty_notes,model_used,extracted_text,is_correct,error_description
019,Airport departure board showing 'FLIGHT BA 247 TO LONDON HEATHROW - GATE 23A - BOARDING NOW - DELAYED 45 MINUTES' in LED display style,FLIGHT BA 247 TO LONDON HEATHROW - GATE 23A - BOARDING NOW - DELAYED 45 MINUTES,"Flight codes, airport codes, gate format",imagen4,,,
020,"Law office nameplate with gold letters reading 'Johnson, Smith & Associates LLC - Attorneys at Law - Est. 1952 - Employment & Personal Injury'","Johnson, Smith & Associates LLC - Attorneys at Law - Est. 1952 - Employment & Personal Injury","Legal format, ampersands, abbreviations",imagen4,,,
021,"Nature preserve sign reading 'Welcome to Yellowstone National Park - ELEVATION: 8,000 ft - Please Stay on Designated Trails' carved in wood","Welcome to Yellowstone National Park - ELEVATION: 8,000 ft - Please Stay on Designated Trails","Mixed case, elevation format, comma in number",imagen4,,,
022,Sale banner in store window reading 'MEGA SUMMER SALE! 50% OFF Everything* - *Excludes Sale Items & Gift Cards - Limited Time Only!',MEGA SUMMER SALE! 50% OFF Everything* - *Excludes Sale Items & Gift Cards - Limited Time Only!,"Asterisk footnotes, percentage",imagen4,,,
023,"Vinyl record label reading 'The Beatles - Abbey Road (50th Anniversary Edition) - Side A - Track 1: ""Come Together"" - ℗ 1969, 2019'","The Beatles - Abbey Road (50th Anniversary Edition) - Side A - Track 1: ""Come Together"" - ℗ 1969, 2019","Parentheses, quotation marks, copyright symbol",imagen4,,,
024,Laboratory equipment label reading 'CAUTION: Radioactive Material - Isotope: Cobalt-60 - Half-life: 5.27 years - Contact Safety Officer',CAUTION: Radioactive Material - Isotope: Cobalt-60 - Half-life: 5.27 years - Contact Safety Officer,"Scientific terms, hyphenated isotope, decimals",imagen4,,,
025,"Museum placard with text 'Vincent van Gogh (1853-1890) - ""The Starry Night"" - Oil on canvas, 73.7 × 92.1 cm - Museum of Modern Art, NYC'","Vincent van Gogh (1853-1890) - ""The Starry Night"" - Oil on canvas, 73.7 × 92.1 cm - Museum of Modern Art, NYC","Artist name, date range, dimensions, multiplication symbol",imagen4,,,
026,Construction site sign reading 'HARD HAT AREA - AUTHORIZED PERSONNEL ONLY - PROJECT: Downtown Tower Phase II - Est. Completion: Q3 2025',HARD HAT AREA - AUTHORIZED PERSONNEL ONLY - PROJECT: Downtown Tower Phase II - Est. Completion: Q3 2025,"Safety terminology, Roman numerals, quarter abbreviation",imagen4,,,
027,"Bank ATM screen displaying 'Welcome to First National Bank - Available Balance: $15,247.83 - Last Transaction: -$45.00 on 03/15/2024'","Welcome to First National Bank - Available Balance: $15,247.83 - Last Transaction: -$45.00 on 03/15/2024","Currency format, decimal amounts, negative values",imagen4,,,
028,"Classroom whiteboard with handwritten equation 'E = mc² - Einstein's Theory of Relativity - Where: E = Energy, m = mass, c = speed of light'","E = mc² - Einstein's Theory of Relativity - Where: E = Energy, m = mass, c = speed of light","Mathematical equation, superscript, scientific formula",imagen4,,,
029,Street sign in Tokyo reading '東京駅 / Tokyo Station - 新宿方面 / To Shinjuku - Platform 7・8番線 / Platforms 7・8' in both Japanese and English,東京駅 / Tokyo Station - 新宿方面 / To Shinjuku - Platform 7・8番線 / Platforms 7・8,"Japanese characters, bilingual text, special bullet point",imagen4,,,
030,Weather station display showing 'SEVERE WEATHER ALERT - Hurricane Category 3 - Winds: 120 mph - Expected Landfall: 6:00 AM EST - EVACUATE IMMEDIATELY',SEVERE WEATHER ALERT - Hurricane Category 3 - Winds: 120 mph - Expected Landfall: 6:00 AM EST - EVACUATE IMMEDIATELY,"Emergency alert, speed units, time zone",imagen4,,,
